12.000000,1.000000,0.250000,0.416667,0.166667,0.166667.1,0.000000,1.000000.1
26.0,1.0,0.115385,0.538462,0.076923,0.269231,0.0,1.0
44.0,1.0,0.363636,0.340909,0.0,0.113636,0.0,1.0
23.0,1.0,0.608696,0.086957,0.086957,0.173913,0.0,1.0
41.0,1.0,0.268293,0.268293,0.0,0.170732,0.0,1.0
35.0,1.0,0.4,0.257143,0.057143,0.285714,0.0,1.0
56.0,3.0,0.0,0.089286,0.160714,0.053571,0.0,1.0
31.0,1.0,0.0,0.032258,0.129032,0.258065,0.0,1.0
54.0,1.0,0.0,0.092593,0.148148,0.222222,0.0,1.0
34.0,1.0,0.0,0.029412,0.117647,0.176471,0.0,1.0
45.0,2.0,0.0,0.044444,0.155556,0.177778,0.0,1.0
51.0,2.0,0.0,0.039216,0.117647,0.235294,0.0,1.0
52.0,2.0,0.0,0.038462,0.115385,0.173077,0.0,1.0
68.0,3.0,0.0,0.058824,0.102941,0.161765,0.0,1.0
49.0,2.0,0.0,0.040816,0.122449,0.204082,0.0,1.0
52.0,2.0,0.0,0.038462,0.115385,0.173077,0.0,1.0
55.0,2.0,0.0,0.054545,0.145455,0.163636,0.0,1.0
52.0,2.0,0.0,0.038462,0.115385,0.173077,0.0,1.0
57.0,3.0,0.0,0.052632,0.105263,0.157895,0.0,1.0
61.0,3.0,0.0,0.081967,0.131148,0.147541,0.0,1.0
60.0,3.0,0.0,0.066667,0.116667,0.15,0.0,1.0
59.0,1.0,0.0,0.033898,0.118644,0.20339,0.0,1.0
59.0,1.0,0.0,0.033898,0.101695,0.20339,0.0,1.0
71.0,2.0,0.028169,0.084507,0.126761,0.183099,0.0,1.0
30.0,0.0,0.0,0.066667,0.133333,0.1,0.0,1.0
75.0,1.0,0.0,0.026667,0.093333,0.04,0.0,1.0
61.0,0.0,0.0,0.065574,0.147541,0.081967,0.0,1.0
112.0,2.0,0.508929,0.008929,0.071429,0.044643,0.0,1.0
162.0,2.0,0.450617,0.006173,0.080247,0.055556,0.0,1.0
180.0,2.0,0.405556,0.005556,0.072222,0.055556,0.0,1.0
53.0,1.0,0.245283,0.018868,0.113208,0.037736,0.0,1.0
75.0,2.0,0.186667,0.013333,0.106667,0.053333,0.0,1.0
50.0,2.0,0.14,0.02,0.06,0.18,0.0,1.0
50.0,1.0,0.32,0.02,0.04,0.16,0.0,1.0
36.0,1.0,0.055556,0.0,0.055556,0.166667,0.0,1.0
28.0,1.0,0.0,0.0,0.035714,0.214286,0.0,1.0
35.0,1.0,0.0,0.028571,0.057143,0.228571,0.0,1.0
98.0,2.0,0.102041,0.010204,0.122449,0.112245,0.0,1.0
19.0,0.0,0.0,0.0,0.0,0.052632,0.0,1.0
75.0,1.0,0.053333,0.026667,0.026667,0.066667,0.0,1.0
