2.000000,1.000000,2.000000.1,4.000000,0.000000,2.000000.2,0.000000.1,1.000000.1
1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0
2.0,1.0,5.0,10.0,0.0,2.0,0.0,1.0
2.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
1.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
0.0,2.0,2.0,4.0,0.0,5.0,0.0,1.0
2.0,2.0,6.0,12.0,0.0,4.0,0.0,1.0
2.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
1.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
0.0,3.0,3.0,6.0,0.0,7.0,0.0,1.0
2.0,3.0,7.0,14.0,0.0,6.0,0.0,1.0
2.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
1.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
0.0,4.0,4.0,8.0,0.0,9.0,0.0,1.0
2.0,4.0,8.0,16.0,0.0,8.0,0.0,1.0
2.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
1.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
0.0,5.0,5.0,10.0,0.0,11.0,0.0,1.0
2.0,5.0,9.0,18.0,0.0,10.0,0.0,1.0
2.0,6.0,7.0,14.0,0.0,12.0,0.0,1.0
1.0,6.0,7.0,14.0,0.0,12.0,0.0,1.0
0.0,6.0,6.0,12.0,0.0,13.0,0.0,1.0
2.0,6.0,10.0,20.0,0.0,12.0,0.0,1.0
2.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0
1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0
2.0,1.0,5.0,10.0,0.0,2.0,0.0,1.0
2.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
1.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
0.0,2.0,2.0,4.0,0.0,5.0,0.0,1.0
2.0,2.0,6.0,12.0,0.0,4.0,0.0,1.0
2.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
1.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
0.0,3.0,3.0,6.0,0.0,7.0,0.0,1.0
2.0,3.0,7.0,14.0,0.0,6.0,0.0,1.0
2.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
1.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
0.0,4.0,4.0,8.0,0.0,9.0,0.0,1.0
2.0,4.0,8.0,16.0,0.0,8.0,0.0,1.0
2.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
1.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
0.0,5.0,5.0,10.0,0.0,11.0,0.0,1.0
2.0,5.0,9.0,18.0,0.0,10.0,0.0,1.0
2.0,6.0,7.0,14.0,0.0,12.0,0.0,1.0
1.0,6.0,7.0,14.0,0.0,12.0,0.0,1.0
0.0,6.0,6.0,12.0,0.0,13.0,0.0,1.0
2.0,6.0,10.0,20.0,0.0,12.0,0.0,1.0
2.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0
1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0
2.0,1.0,5.0,10.0,0.0,2.0,0.0,1.0
2.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
1.0,2.0,3.0,6.0,0.0,4.0,0.0,1.0
0.0,2.0,2.0,4.0,0.0,5.0,0.0,1.0
2.0,2.0,6.0,12.0,0.0,4.0,0.0,1.0
2.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
1.0,3.0,4.0,8.0,0.0,6.0,0.0,1.0
0.0,3.0,3.0,6.0,0.0,7.0,0.0,1.0
2.0,3.0,7.0,14.0,0.0,6.0,0.0,1.0
2.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
1.0,4.0,5.0,10.0,0.0,8.0,0.0,1.0
0.0,4.0,4.0,8.0,0.0,9.0,0.0,1.0
2.0,4.0,8.0,16.0,0.0,8.0,0.0,1.0
2.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
1.0,5.0,6.0,12.0,0.0,10.0,0.0,1.0
0.0,5.0,5.0,10.0,0.0,11.0,0.0,1.0
2.0,5.0,9.0,18.0,0.0,10.0,0.0,1.0
2.0,6.0,7.0,14.0,0.0,12.0,0.0,1.0
